"","County","Province_State","FIPS","Country_Region","Lat","Long_","Combined_Key","Last_Update.x","Confirmed.x","Deaths.x","Recovered.x","Active.x","Incidence_Rate.x","Case.Fatality_Ratio.x","Last_Update.y","Confirmed.y","Deaths.y","Recovered.y","Active.y","Incidence_Rate.y","Case.Fatality_Ratio.y","NEVER","RARELY","SOMETIMES","FREQUENTLY","ALWAYS","GDP 2018","Population_Count_2019","Percent.of.adults.with.less.than.a.high.school.diploma..2014.18","Percent.of.adults.with.a.high.school.diploma.only..2014.18","Percent.of.adults.completing.some.college.or.associate.s.degree..2014.18","Percent.of.adults.with.a.bachelor.s.degree.or.higher..2014.18","Median_Age"
"15","Anoka","Minnesota",27003,"US",45.27476015,-93.24604565,"Anoka, Minnesota, US","2020-06-16 04:33:09",1760,90,0,1670,493.106317644521,5.11363636363636,"2020-07-20 05:34:40",2667,110,0,2557,747.224175657919,4.12448443944507,0.054,0.078,0.132,0.245,0.492,13920520,353441,6.1,27.9,36.3,29.7,38.8
"16","Apache","Arizona",4001,"US",35.39465006,-109.4892383,"Apache, Arizona, US","2020-06-16 04:33:09",1975,56,0,1919,2747.36739605214,2.83544303797468,"2020-07-20 05:34:40",2741,110,0,2631,3812.92862409059,4.01313389273988,0.055,0.063,0.031,0.15,0.701,2619469,71731,20.4,33.1,34.8,11.7,36.6
"17","Arapahoe","Colorado",8005,"US",39.64977461,-104.3353617,"Arapahoe, Colorado, US","2020-06-16 04:33:09",4818,335,0,4483,733.791254816552,6.95309256953093,"2020-07-20 05:34:40",6032,351,0,5681,918.685937952147,5.81896551724138,0.013,0.026,0.065,0.193,0.703,44037874,651797,7.6,20.7,29.5,42.2,36.7
"18","Arlington","Virginia",51013,"US",38.8767675,-77.10139853,"Arlington, Virginia, US","2020-06-16 04:33:09",2346,125,0,2221,990.533773570566,5.32821824381927,"2020-07-20 05:34:40",2733,135,0,2598,1153.93384619282,4.93962678375412,0.01,0.018,0.035,0.187,0.75,31513885,236025,5.9,8.1,11.4,74.6,35
"19","Armstrong","Pennsylvania",42005,"US",40.81665618,-79.46290811,"Armstrong, Pennsylvania, US","2020-06-16 04:33:09",66,5,0,61,101.954120645709,7.57575757575758,"2020-07-20 05:34:40",114,6,0,108,176.102572024407,5.26315789473684,0.027,0.074,0.159,0.173,0.568,2344977,65352,10.5,48,25.2,16.2,47.3
"20","Aroostook","Maine",23003,"US",46.65926321,-68.59841248,"Aroostook, Maine, US","2020-06-16 04:33:09",10,1,0,9,14.9131310118559,10,"2020-07-20 05:34:40",27,1,0,26,40.265453732011,3.7037037037037,0.143,0.047,0.12,0.243,0.447,2357454,67318,12.5,37.2,31.3,18.9,48.7
"21","Ashtabula","Ohio",39007,"US",41.70860332,-80.74830218,"Ashtabula, Ohio, US","2020-06-16 04:33:09",390,39,0,351,401.065394226715,10,"2020-07-20 05:34:40",473,44,0,429,486.420337100606,9.30232558139535,0.144,0.008,0.099,0.257,0.492,2781238,97587,14,44.4,27.4,14.1,42.3
"22","Athens","Ohio",39009,"US",39.33425634,-82.04278644,"Athens, Ohio, US","2020-06-16 04:33:09",23,1,0,22,35.2074946040688,4.34782608695652,"2020-07-20 05:34:40",268,1,0,267,410.243850169149,0.373134328358209,0.071,0.115,0.164,0.236,0.413,1899070,65519,10.4,34.9,25,29.7,30.5
"23","Baldwin","Alabama",1003,"US",30.72774991,-87.72207058,"Baldwin, Alabama, US","2020-06-16 04:33:09",368,9,0,359,164.849440497415,2.44565217391304,"2020-07-20 05:34:40",1914,14,0,1900,857.396274761013,0.731452455590387,0.083,0.059,0.098,0.323,0.436,5774289,217855,9.7,27.6,31.3,31.3,43
"24","Baltimore","Maryland",24005,"US",39.45784712,-76.62911955,"Baltimore, Maryland, US","2020-06-16 04:33:09",7199,424,0,6775,870.106481985085,5.88970690373663,"2020-07-20 05:34:40",9723,510,0,9213,1175.16951303528,5.24529466214131,0.013,0.024,0.043,0.142,0.777,48916032,827859,8.9,26.2,26.3,38.6,39.5
