TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,MEDIAN AGE OF THE TOTAL POPULATION,,,,
R0101,04001US38,North Dakota -- Urban,1,33.4,+/-0.6
R0101,04001US39,Ohio -- Urban,1,38.6,+/-0.2
R0101,04001US40,Oklahoma -- Urban,1,35.0,+/-0.2
R0101,04001US41,Oregon -- Urban,1,38.1,+/-0.2
R0101,04001US42,Pennsylvania -- Urban,1,39.5,+/-0.2
R0101,04001US44,Rhode Island -- Urban,1,39.3,+/-0.4
R0101,04001US45,South Carolina -- Urban,1,38.0,+/-0.3
R0101,04001US46,South Dakota -- Urban,1,35.8,+/-0.5
R0101,04001US47,Tennessee -- Urban,1,36.7,+/-0.2
R0101,04001US48,Texas -- Urban,1,34.2,+/-0.2
R0101,04001US49,Utah -- Urban,1,30.8,+/-0.2
R0101,04001US50,Vermont -- Urban,1,36.9,+/-1.3
R0101,04001US51,Virginia -- Urban,1,36.6,+/-0.2
R0101,04001US53,Washington -- Urban,1,36.8,+/-0.1
R0101,04001US54,West Virginia -- Urban,1,39.8,+/-0.6
R0101,04001US55,Wisconsin -- Urban,1,37.5,+/-0.2
R0101,04001US56,Wyoming -- Urban,1,35.8,+/-0.8
R0101,04001US72,Puerto Rico -- Urban,1,42.9,+/-0.2
R0101,04043US01,Alabama -- Rural,1,42.4,+/-0.5
R0101,04043US02,Alaska -- Rural,1,36.9,+/-0.8
R0101,04043US04,Arizona -- Rural,1,46.0,+/-1.2
R0101,04043US05,Arkansas -- Rural,1,43.3,+/-0.6
R0101,04043US06,California -- Rural,1,43.2,+/-0.7
R0101,04043US08,Colorado -- Rural,1,44.1,+/-0.7
R0101,04043US09,Connecticut -- Rural,1,47.0,+/-1.2
R0101,04043US10,Delaware -- Rural,1,47.6,+/-1.6
R0101,04043US12,Florida -- Rural,1,45.1,+/-0.7
R0101,04043US13,Georgia -- Rural,1,42.0,+/-0.5
R0101,04043US15,Hawaii -- Rural,1,45.6,+/-3.4
R0101,04043US16,Idaho -- Rural,1,42.5,+/-0.8
R0101,04043US17,Illinois -- Rural,1,44.0,+/-0.6
R0101,04043US18,Indiana -- Rural,1,42.7,+/-0.6
R0101,04043US19,Iowa -- Rural,1,42.6,+/-0.6
R0101,04043US20,Kansas -- Rural,1,43.1,+/-0.9
R0101,04043US21,Kentucky -- Rural,1,42.6,+/-0.4
R0101,04043US22,Louisiana -- Rural,1,39.7,+/-0.6
R0101,04043US23,Maine -- Rural,1,47.3,+/-0.5
R0101,04043US24,Maryland -- Rural,1,45.3,+/-1.0
R0101,04043US25,Massachusetts -- Rural,1,47.8,+/-0.8
R0101,04043US26,Michigan -- Rural,1,45.4,+/-0.4
R0101,04043US27,Minnesota -- Rural,1,43.4,+/-0.4
R0101,04043US28,Mississippi -- Rural,1,41.0,+/-0.6
R0101,04043US29,Missouri -- Rural,1,44.1,+/-0.6
R0101,04043US30,Montana -- Rural,1,44.7,+/-0.7
R0101,04043US31,Nebraska -- Rural,1,43.0,+/-0.8
R0101,04043US32,Nevada -- Rural,1,45.8,+/-2.5
R0101,04043US33,New Hampshire -- Rural,1,46.4,+/-1.0
R0101,04043US34,New Jersey -- Rural,1,47.4,+/-1.1
R0101,04043US35,New Mexico -- Rural,1,43.1,+/-1.2
R0101,04043US36,New York -- Rural,1,45.8,+/-0.4
R0101,04043US37,North Carolina -- Rural,1,44.1,+/-0.4
R0101,04043US38,North Dakota -- Rural,1,38.8,+/-0.7
R0101,04043US39,Ohio -- Rural,1,43.4,+/-0.4
R0101,04043US40,Oklahoma -- Rural,1,41.3,+/-0.5
R0101,04043US41,Oregon -- Rural,1,48.3,+/-0.9
R0101,04043US42,Pennsylvania -- Rural,1,46.4,+/-0.4
R0101,04043US44,Rhode Island -- Rural,1,48.7,+/-2.1
R0101,04043US45,South Carolina -- Rural,1,43.7,+/-0.6
R0101,04043US46,South Dakota -- Rural,1,40.6,+/-0.8
R0101,04043US47,Tennessee -- Rural,1,44.1,+/-0.4
R0101,04043US48,Texas -- Rural,1,39.4,+/-0.4
R0101,04043US49,Utah -- Rural,1,34.8,+/-1.3
R0101,04043US50,Vermont -- Rural,1,47.0,+/-0.8
R0101,04043US51,Virginia -- Rural,1,46.4,+/-0.4
R0101,04043US53,Washington -- Rural,1,44.7,+/-0.8
R0101,04043US54,West Virginia -- Rural,1,46.4,+/-0.7
R0101,04043US55,Wisconsin -- Rural,1,45.9,+/-0.4
R0101,04043US56,Wyoming -- Rural,1,40.9,+/-1.2
R0101,04043US72,Puerto Rico -- Rural,1,47.7,+/-2.0
R0101,040A0US01,Alabama -- In metropolitan or micropolitan statistical area,1,39.2,+/-0.2
R0101,040A0US02,Alaska -- In metropolitan or micropolitan statistical area,1,34.6,+/-0.4
R0101,040A0US04,Arizona -- In metropolitan or micropolitan statistical area,1,38.2,+/-0.2
R0101,040A0US05,Arkansas -- In metropolitan or micropolitan statistical area,1,37.9,+/-0.2
R0101,040A0US06,California -- In metropolitan or micropolitan statistical area,1,37.0,+/-0.2
R0101,040A0US08,Colorado -- In metropolitan or micropolitan statistical area,1,36.8,+/-0.1
R0101,040A0US09,Connecticut -- In metropolitan or micropolitan statistical area,1,41.2,+/-0.2
R0101,040A0US10,Delaware -- In metropolitan or micropolitan statistical area,1,41.4,+/-0.3
R0101,040A0US11,District of Columbia -- In metropolitan or micropolitan statistical area,1,34.3,+/-0.2
R0101,040A0US12,Florida -- In metropolitan or micropolitan statistical area,1,42.4,+/-0.1
R0101,040A0US13,Georgia -- In metropolitan or micropolitan statistical area,1,36.8,+/-0.1
R0101,040A0US15,Hawaii -- In metropolitan or micropolitan statistical area,1,39.6,+/-0.3
R0101,040A0US16,Idaho -- In metropolitan or micropolitan statistical area,1,36.4,+/-0.2
R0101,040A0US17,Illinois -- In metropolitan or micropolitan statistical area,1,38.4,+/-0.1
R0101,040A0US18,Indiana -- In metropolitan or micropolitan statistical area,1,37.8,+/-0.1
R0101,040A0US19,Iowa -- In metropolitan or micropolitan statistical area,1,37.3,+/-0.2
R0101,040A0US20,Kansas -- In metropolitan or micropolitan statistical area,1,36.5,+/-0.2
R0101,040A0US21,Kentucky -- In metropolitan or micropolitan statistical area,1,38.5,+/-0.2
R0101,040A0US22,Louisiana -- In metropolitan or micropolitan statistical area,1,37.6,+/-0.2
R0101,040A0US23,Maine -- In metropolitan or micropolitan statistical area,1,43.6,+/-0.2
R0101,040A0US24,Maryland -- In metropolitan or micropolitan statistical area,1,39.0,+/-0.1
R0101,040A0US25,Massachusetts -- In metropolitan or micropolitan statistical area,1,39.7,+/-0.2
R0101,040A0US26,Michigan -- In metropolitan or micropolitan statistical area,1,39.2,+/-0.1
R0101,040A0US27,Minnesota -- In metropolitan or micropolitan statistical area,1,37.9,+/-0.1
R0101,040A0US28,Mississippi -- In metropolitan or micropolitan statistical area,1,37.7,+/-0.4
R0101,040A0US29,Missouri -- In metropolitan or micropolitan statistical area,1,38.3,+/-0.2
R0101,040A0US30,Montana -- In metropolitan or micropolitan statistical area,1,38.8,+/-0.5
R0101,040A0US31,Nebraska -- In metropolitan or micropolitan statistical area,1,35.8,+/-0.2
R0101,040A0US32,Nevada -- In metropolitan or micropolitan statistical area,1,38.3,+/-0.2
R0101,040A0US33,New Hampshire -- In metropolitan or micropolitan statistical area,1,42.6,+/-0.2
R0101,040A0US34,New Jersey -- In metropolitan or micropolitan statistical area,1,40.2,+/-0.1
R0101,040A0US35,New Mexico -- In metropolitan or micropolitan statistical area,1,38.5,+/-0.2
R0101,040A0US36,New York -- In metropolitan or micropolitan statistical area,1,39.1,+/-0.1
R0101,040A0US37,North Carolina -- In metropolitan or micropolitan statistical area,1,38.8,+/-0.2
R0101,040A0US38,North Dakota -- In metropolitan or micropolitan statistical area,1,34.2,+/-0.4
R0101,040A0US39,Ohio -- In metropolitan or micropolitan statistical area,1,39.5,+/-0.2
R0101,040A0US40,Oklahoma -- In metropolitan or micropolitan statistical area,1,36.4,+/-0.2
R0101,040A0US41,Oregon -- In metropolitan or micropolitan statistical area,1,39.5,+/-0.2
R0101,040A0US42,Pennsylvania -- In metropolitan or micropolitan statistical area,1,40.7,+/-0.2
R0101,040A0US44,Rhode Island -- In metropolitan or micropolitan statistical area,1,40.1,+/-0.4
R0101,040A0US45,South Carolina -- In metropolitan or micropolitan statistical area,1,39.7,+/-0.2
R0101,040A0US46,South Dakota -- In metropolitan or micropolitan statistical area,1,37.2,+/-0.4
R0101,040A0US47,Tennessee -- In metropolitan or micropolitan statistical area,1,38.6,+/-0.2
R0101,040A0US48,Texas -- In metropolitan or micropolitan statistical area,1,34.8,+/-0.1
R0101,040A0US49,Utah -- In metropolitan or micropolitan statistical area,1,31.0,+/-0.1
