TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,MEDIAN AGE OF THE TOTAL POPULATION,,,,
R0101,06000US3403156550,"Passaic city, Passaic County, New Jersey",1,30.8,+/-2.5
R0101,06000US3403157000,"Paterson city, Passaic County, New Jersey",1,32.4,+/-1.4
R0101,06000US3403524900,"Franklin township, Somerset County, New Jersey",1,43.3,+/-3.3
R0101,06000US3403921000,"Elizabeth city, Union County, New Jersey",1,34.8,+/-1.7
R0101,06000US3600101000,"Albany city, Albany County, New York",1,30.6,+/-2.0
R0101,06000US3600117343,"Colonie town, Albany County, New York",1,43.2,+/-4.3
R0101,06000US3600508510,"Bronx borough, Bronx County, New York",1,34.8,+/-0.1
R0101,06000US3602902000,"Amherst town, Erie County, New York",1,41.4,+/-2.7
R0101,06000US3602911000,"Buffalo city, Erie County, New York",1,32.7,+/-0.7
R0101,06000US3602915011,"Cheektowaga town, Erie County, New York",1,39.9,+/-2.6
R0101,06000US3602975000,"Tonawanda town, Erie County, New York",1,46.5,+/-4.3
R0101,06000US3604710022,"Brooklyn borough, Kings County, New York",1,35.6,+/-0.1
R0101,06000US3605530290,"Greece town, Monroe County, New York",1,43.9,+/-2.2
R0101,06000US3605563000,"Rochester city, Monroe County, New York",1,33.3,+/-1.2
R0101,06000US3605934000,"Hempstead town, Nassau County, New York",1,40.1,+/-0.6
R0101,06000US3605953000,"North Hempstead town, Nassau County, New York",1,43.7,+/-1.4
R0101,06000US3605956000,"Oyster Bay town, Nassau County, New York",1,45.0,+/-1.2
R0101,06000US3606144919,"Manhattan borough, New York County, New York",1,37.6,+/-0.3
R0101,06000US3606773000,"Syracuse city, Onondaga County, New York",1,32.2,+/-1.2
R0101,06000US3608160323,"Queens borough, Queens County, New York",1,39.7,+/-0.2
R0101,06000US3608570915,"Staten Island borough, Richmond County, New York",1,40.0,+/-0.5
R0101,06000US3608715968,"Clarkstown town, Rockland County, New York",1,46.1,+/-1.7
R0101,06000US3608760510,"Ramapo town, Rockland County, New York",1,24.6,+/-1.5
R0101,06000US3609365508,"Schenectady city, Schenectady County, New York",1,34.6,+/-2.4
R0101,06000US3610304000,"Babylon town, Suffolk County, New York",1,40.4,+/-2.4
R0101,06000US3610310000,"Brookhaven town, Suffolk County, New York",1,40.0,+/-1.3
R0101,06000US3610337000,"Huntington town, Suffolk County, New York",1,46.5,+/-2.2
R0101,06000US3610338000,"Islip town, Suffolk County, New York",1,39.1,+/-1.4
R0101,06000US3610368000,"Smithtown town, Suffolk County, New York",1,46.6,+/-2.1
R0101,06000US3611930367,"Greenburgh town, Westchester County, New York",1,42.2,+/-2.7
R0101,06000US3611949121,"Mount Vernon city, Westchester County, New York",1,44.6,+/-3.1
R0101,06000US3611950617,"New Rochelle city, Westchester County, New York",1,44.3,+/-4.2
R0101,06000US3611984000,"Yonkers city, Westchester County, New York",1,37.9,+/-2.1
R0101,06000US3801507200,"Bismarck city, Burleigh County, North Dakota",1,35.9,+/-1.8
R0101,06000US3801725700,"Fargo city, Cass County, North Dakota",1,33.4,+/-0.8
R0101,06000US3903516000,"Cleveland city, Cuyahoga County, Ohio",1,35.5,+/-1.1
R0101,06000US3903561000,"Parma city, Cuyahoga County, Ohio",1,42.4,+/-3.1
R0101,06000US3904918000,"Columbus city, Franklin County, Ohio",1,32.4,+/-0.4
R0101,06000US3906115000,"Cincinnati city, Hamilton County, Ohio",1,32.5,+/-0.7
R0101,06000US3909344856,"Lorain city, Lorain County, Ohio",1,35.9,+/-3.0
R0101,06000US3909577000,"Toledo city, Lucas County, Ohio",1,35.6,+/-1.0
R0101,06000US3909988000,"Youngstown city, Mahoning County, Ohio",1,39.4,+/-2.5
R0101,06000US3911321000,"Dayton city, Montgomery County, Ohio",1,33.0,+/-1.8
R0101,06000US3915112000,"Canton city, Stark County, Ohio",1,38.3,+/-4.4
R0101,06000US3915301000,"Akron city, Summit County, Ohio",1,38.0,+/-1.7
R0101,06000US4200361000,"Pittsburgh city, Allegheny County, Pennsylvania",1,33.3,+/-0.8
R0101,06000US4201163624,"Reading city, Berks County, Pennsylvania",1,30.4,+/-1.4
R0101,06000US4204579000,"Upper Darby township, Delaware County, Pennsylvania",1,35.8,+/-2.1
R0101,06000US4204924000,"Erie city, Erie County, Pennsylvania",1,37.1,+/-1.8
R0101,06000US4206969000,"Scranton city, Lackawanna County, Pennsylvania",1,38.2,+/-2.0
R0101,06000US4207702000,"Allentown city, Lehigh County, Pennsylvania",1,31.2,+/-1.5
R0101,06000US4210160000,"Philadelphia city, Philadelphia County, Pennsylvania",1,34.7,+/-0.1
R0101,06000US4400374300,"Warwick city, Kent County, Rhode Island",1,44.7,+/-2.2
R0101,06000US4400719180,"Cranston city, Providence County, Rhode Island",1,40.6,+/-2.2
R0101,06000US4400754640,"Pawtucket city, Providence County, Rhode Island",1,36.0,+/-2.8
R0101,06000US4400759000,"Providence city, Providence County, Rhode Island",1,31.9,+/-2.0
R0101,06000US4609959020,"Sioux Falls city, Minnehaha County, South Dakota",1,35.2,+/-0.6
R0101,06000US4610352980,"Rapid City city, Pennington County, South Dakota",1,39.1,+/-1.4
R0101,06000US5500931000,"Green Bay city, Brown County, Wisconsin",1,36.0,+/-1.8
R0101,06000US5502548000,"Madison city, Dane County, Wisconsin",1,31.7,+/-0.8
R0101,06000US5503522300,"Eau Claire city, Eau Claire County, Wisconsin",1,31.9,+/-1.7
R0101,06000US5505939225,"Kenosha city, Kenosha County, Wisconsin",1,35.1,+/-1.5
R0101,06000US5507953000,"Milwaukee city, Milwaukee County, Wisconsin",1,31.5,+/-0.5
R0101,06000US5510166000,"Racine city, Racine County, Wisconsin",1,37.6,+/-2.5
R0101,06000US5513384250,"Waukesha city, Waukesha County, Wisconsin",1,39.7,+/-2.5
R0101,06000US5513960500,"Oshkosh city, Winnebago County, Wisconsin",1,35.5,+/-2.2
R0101,16000US0103076,"Auburn city, Alabama",1,25.2,+/-1.4
R0101,16000US0107000,"Birmingham city, Alabama",1,36.7,+/-2.4
R0101,16000US0121184,"Dothan city, Alabama",1,41.0,+/-1.4
R0101,16000US0135896,"Hoover city, Alabama",1,36.9,+/-2.2
R0101,16000US0137000,"Huntsville city, Alabama",1,35.8,+/-1.1
R0101,16000US0150000,"Mobile city, Alabama",1,37.5,+/-1.3
R0101,16000US0151000,"Montgomery city, Alabama",1,35.6,+/-0.6
R0101,16000US0177256,"Tuscaloosa city, Alabama",1,31.0,+/-3.3
R0101,16000US0203000,"Anchorage municipality, Alaska",1,34.2,+/-0.4
R0101,16000US0404720,"Avondale city, Arizona",1,29.5,+/-1.8
R0101,16000US0407940,"Buckeye city, Arizona",1,34.8,+/-2.3
R0101,16000US0410670,"Casas Adobes CDP, Arizona",1,40.8,+/-4.5
R0101,16000US0412000,"Chandler city, Arizona",1,37.8,+/-1.5
R0101,16000US0423620,"Flagstaff city, Arizona",1,25.8,+/-1.2
R0101,16000US0427400,"Gilbert town, Arizona",1,34.8,+/-1.3
R0101,16000US0427820,"Glendale city, Arizona",1,35.7,+/-1.8
R0101,16000US0428380,"Goodyear city, Arizona",1,37.8,+/-2.8
R0101,16000US0446000,"Mesa city, Arizona",1,35.9,+/-1.1
R0101,16000US0454050,"Peoria city, Arizona",1,42.5,+/-1.7
R0101,16000US0455000,"Phoenix city, Arizona",1,34.4,+/-0.5
R0101,16000US0464210,"San Tan Valley CDP, Arizona",1,34.0,+/-2.5
R0101,16000US0465000,"Scottsdale city, Arizona",1,50.1,+/-2.1
R0101,16000US0471510,"Surprise city, Arizona",1,39.8,+/-2.6
R0101,16000US0473000,"Tempe city, Arizona",1,30.0,+/-0.9
R0101,16000US0477000,"Tucson city, Arizona",1,34.5,+/-0.6
R0101,16000US0485540,"Yuma city, Arizona",1,30.6,+/-1.3
R0101,16000US0515190,"Conway city, Arkansas",1,28.7,+/-1.3
R0101,16000US0523290,"Fayetteville city, Arkansas",1,27.9,+/-0.9
R0101,16000US0524550,"Fort Smith city, Arkansas",1,37.3,+/-1.7
R0101,16000US0535710,"Jonesboro city, Arkansas",1,34.6,+/-1.7
R0101,16000US0541000,"Little Rock city, Arkansas",1,37.4,+/-1.6
R0101,16000US0550450,"North Little Rock city, Arkansas",1,35.2,+/-3.9
R0101,16000US0560410,"Rogers city, Arkansas",1,32.2,+/-2.1
R0101,16000US0566080,"Springdale city, Arkansas",1,31.1,+/-2.3
R0101,16000US0600562,"Alameda city, California",1,39.8,+/-2.0
R0101,16000US0600884,"Alhambra city, California",1,41.8,+/-2.2
R0101,16000US0602000,"Anaheim city, California",1,35.2,+/-1.0
R0101,16000US0602252,"Antioch city, California",1,38.8,+/-3.6
R0101,16000US0602364,"Apple Valley town, California",1,36.3,+/-4.6
R0101,16000US0602553,"Arden-Arcade CDP, California",1,36.6,+/-2.7
R0101,16000US0603526,"Bakersfield city, California",1,31.4,+/-0.7
R0101,16000US0603666,"Baldwin Park city, California",1,37.0,+/-2.8
R0101,16000US0604982,"Bellflower city, California",1,37.1,+/-2.4
R0101,16000US0606000,"Berkeley city, California",1,31.5,+/-1.2
R0101,16000US0608786,"Buena Park city, California",1,41.1,+/-3.1
R0101,16000US0608954,"Burbank city, California",1,40.6,+/-2.6
R0101,16000US0610046,"Camarillo city, California",1,43.7,+/-3.3
R0101,16000US0611194,"Carlsbad city, California",1,44.6,+/-2.2
R0101,16000US0611390,"Carmichael CDP, California",1,39.2,+/-4.2
R0101,16000US0611530,"Carson city, California",1,43.8,+/-3.7
R0101,16000US0613014,"Chico city, California",1,30.2,+/-1.5
R0101,16000US0613210,"Chino city, California",1,38.6,+/-1.9
R0101,16000US0613214,"Chino Hills city, California",1,40.9,+/-2.2
R0101,16000US0613392,"Chula Vista city, California",1,37.4,+/-1.8
R0101,16000US0613588,"Citrus Heights city, California",1,39.5,+/-4.1
R0101,16000US0614218,"Clovis city, California",1,35.6,+/-1.6
R0101,16000US0615044,"Compton city, California",1,33.5,+/-1.8
R0101,16000US0616000,"Concord city, California",1,37.3,+/-2.0
R0101,16000US0616350,"Corona city, California",1,35.3,+/-1.2
R0101,16000US0616532,"Costa Mesa city, California",1,34.9,+/-1.8
R0101,16000US0617918,"Daly City city, California",1,39.7,+/-2.1
R0101,16000US0618100,"Davis city, California",1,25.8,+/-1.5
R0101,16000US0619766,"Downey city, California",1,36.6,+/-2.9
R0101,16000US0620802,"East Los Angeles CDP, California",1,31.9,+/-1.4
R0101,16000US0621712,"El Cajon city, California",1,34.9,+/-1.5
R0101,16000US0622020,"Elk Grove city, California",1,38.6,+/-1.5
R0101,16000US0622230,"El Monte city, California",1,38.2,+/-2.6
R0101,16000US0622804,"Escondido city, California",1,36.9,+/-2.0
R0101,16000US0623182,"Fairfield city, California",1,35.3,+/-2.7
R0101,16000US0624477,"Florence-Graham CDP, California",1,31.2,+/-1.6
R0101,16000US0624638,"Folsom city, California",1,40.1,+/-2.6
R0101,16000US0624680,"Fontana city, California",1,32.2,+/-1.5
R0101,16000US0626000,"Fremont city, California",1,38.9,+/-0.9
R0101,16000US0627000,"Fresno city, California",1,31.8,+/-0.5
R0101,16000US0628000,"Fullerton city, California",1,35.4,+/-2.2
R0101,16000US0629000,"Garden Grove city, California",1,40.1,+/-1.5
R0101,16000US0630000,"Glendale city, California",1,40.8,+/-1.3
R0101,16000US0632548,"Hawthorne city, California",1,32.2,+/-2.2
R0101,16000US0633000,"Hayward city, California",1,36.5,+/-1.4
R0101,16000US0633182,"Hemet city, California",1,40.0,+/-2.5
R0101,16000US0633434,"Hesperia city, California",1,34.2,+/-2.4
R0101,16000US0636000,"Huntington Beach city, California",1,42.5,+/-2.2
R0101,16000US0636448,"Indio city, California",1,42.5,+/-2.7
R0101,16000US0636546,"Inglewood city, California",1,36.8,+/-2.4
R0101,16000US0636770,"Irvine city, California",1,33.0,+/-1.5
R0101,16000US0637692,"Jurupa Valley city, California",1,31.8,+/-1.8
R0101,16000US0639248,"Laguna Niguel city, California",1,44.1,+/-4.7
R0101,16000US0639486,"Lake Elsinore city, California",1,31.3,+/-3.1
R0101,16000US0639496,"Lake Forest city, California",1,39.9,+/-1.9
R0101,16000US0639892,"Lakewood city, California",1,38.1,+/-2.4
R0101,16000US0640130,"Lancaster city, California",1,33.5,+/-2.0
R0101,16000US0641992,"Livermore city, California",1,39.6,+/-2.2
R0101,16000US0642202,"Lodi city, California",1,35.1,+/-3.2
R0101,16000US0643000,"Long Beach city, California",1,36.0,+/-1.0
R0101,16000US0644000,"Los Angeles city, California",1,35.9,+/-0.2
R0101,16000US0644574,"Lynwood city, California",1,30.6,+/-2.2
R0101,16000US0645022,"Madera city, California",1,27.8,+/-2.1
R0101,16000US0645484,"Manteca city, California",1,38.7,+/-3.1
R0101,16000US0646842,"Menifee city, California",1,37.7,+/-2.2
R0101,16000US0646898,"Merced city, California",1,30.1,+/-2.1
R0101,16000US0647766,"Milpitas city, California",1,37.7,+/-1.7
R0101,16000US0648256,"Mission Viejo city, California",1,47.9,+/-2.3
R0101,16000US0648354,"Modesto city, California",1,35.8,+/-1.6
R0101,16000US0649270,"Moreno Valley city, California",1,31.0,+/-1.0
R0101,16000US0649670,"Mountain View city, California",1,34.9,+/-2.2
R0101,16000US0650076,"Murrieta city, California",1,33.1,+/-2.4
R0101,16000US0650258,"Napa city, California",1,40.5,+/-1.4
R0101,16000US0651182,"Newport Beach city, California",1,46.2,+/-3.1
R0101,16000US0652526,"Norwalk city, California",1,35.4,+/-1.3
R0101,16000US0653000,"Oakland city, California",1,36.9,+/-0.6
R0101,16000US0653322,"Oceanside city, California",1,37.5,+/-1.1
R0101,16000US0653896,"Ontario city, California",1,32.1,+/-1.0
R0101,16000US0653980,"Orange city, California",1,36.6,+/-2.3
R0101,16000US0654652,"Oxnard city, California",1,34.1,+/-1.7
R0101,16000US0655156,"Palmdale city, California",1,32.0,+/-2.6
R0101,16000US0655282,"Palo Alto city, California",1,41.3,+/-2.5
R0101,16000US0656000,"Pasadena city, California",1,38.5,+/-1.6
R0101,16000US0656700,"Perris city, California",1,30.7,+/-2.7
R0101,16000US0657456,"Pittsburg city, California",1,35.6,+/-2.6
R0101,16000US0657792,"Pleasanton city, California",1,42.1,+/-2.1
R0101,16000US0658072,"Pomona city, California",1,34.3,+/-1.6
R0101,16000US0659444,"Rancho Cordova city, California",1,33.4,+/-1.8
R0101,16000US0659451,"Rancho Cucamonga city, California",1,36.9,+/-2.0
R0101,16000US0659920,"Redding city, California",1,37.4,+/-1.9
R0101,16000US0659962,"Redlands city, California",1,39.6,+/-3.8
R0101,16000US0660018,"Redondo Beach city, California",1,38.7,+/-1.7
R0101,16000US0660102,"Redwood City city, California",1,38.3,+/-2.2
R0101,16000US0660466,"Rialto city, California",1,29.8,+/-1.3
R0101,16000US0660620,"Richmond city, California",1,36.5,+/-2.4
R0101,16000US0662000,"Riverside city, California",1,31.1,+/-1.0
R0101,16000US0662364,"Rocklin city, California",1,39.3,+/-2.3
R0101,16000US0662938,"Roseville city, California",1,40.0,+/-1.5
R0101,16000US0664000,"Sacramento city, California",1,34.8,+/-0.8
R0101,16000US0664224,"Salinas city, California",1,30.3,+/-1.0
R0101,16000US0665000,"San Bernardino city, California",1,31.1,+/-1.6
R0101,16000US0665042,"San Buenaventura (Ventura) city, California",1,40.1,+/-2.7
R0101,16000US0665084,"San Clemente city, California",1,42.1,+/-2.5
R0101,16000US0666000,"San Diego city, California",1,35.4,+/-0.4
R0101,16000US0667000,"San Francisco city, California",1,38.2,+/-0.3
R0101,16000US0668000,"San Jose city, California",1,37.4,+/-0.4
R0101,16000US0668084,"San Leandro city, California",1,41.1,+/-3.9
R0101,16000US0668196,"San Marcos city, California",1,37.3,+/-2.6
R0101,16000US0668252,"San Mateo city, California",1,37.2,+/-1.6
R0101,16000US0668378,"San Ramon city, California",1,41.8,+/-1.3
R0101,16000US0669000,"Santa Ana city, California",1,33.2,+/-0.9
R0101,16000US0669070,"Santa Barbara city, California",1,37.6,+/-2.8
R0101,16000US0669084,"Santa Clara city, California",1,33.7,+/-1.3
R0101,16000US0669088,"Santa Clarita city, California",1,38.5,+/-1.4
R0101,16000US0669112,"Santa Cruz city, California",1,26.7,+/-1.5
R0101,16000US0669196,"Santa Maria city, California",1,28.7,+/-0.9
R0101,16000US0670000,"Santa Monica city, California",1,41.6,+/-3.9
R0101,16000US0670098,"Santa Rosa city, California",1,39.2,+/-1.3
R0101,16000US0672016,"Simi Valley city, California",1,41.6,+/-2.0
R0101,16000US0673080,"South Gate city, California",1,32.3,+/-2.1
R0101,16000US0673262,"South San Francisco city, California",1,43.4,+/-3.1
R0101,16000US0675000,"Stockton city, California",1,34.0,+/-1.2
R0101,16000US0677000,"Sunnyvale city, California",1,35.6,+/-1.1
R0101,16000US0678120,"Temecula city, California",1,35.7,+/-1.7
R0101,16000US0678582,"Thousand Oaks city, California",1,40.8,+/-2.4
R0101,16000US0680000,"Torrance city, California",1,42.5,+/-2.6
R0101,16000US0680238,"Tracy city, California",1,33.6,+/-2.3
R0101,16000US0680644,"Tulare city, California",1,25.6,+/-2.7
R0101,16000US0680812,"Turlock city, California",1,32.8,+/-2.7
R0101,16000US0680854,"Tustin city, California",1,34.7,+/-2.4
R0101,16000US0681204,"Union City city, California",1,39.7,+/-2.6
R0101,16000US0681344,"Upland city, California",1,38.0,+/-2.5
R0101,16000US0681554,"Vacaville city, California",1,37.6,+/-1.7
R0101,16000US0681666,"Vallejo city, California",1,39.7,+/-2.9
R0101,16000US0682590,"Victorville city, California",1,30.6,+/-2.8
R0101,16000US0682954,"Visalia city, California",1,32.8,+/-2.5
R0101,16000US0682996,"Vista city, California",1,34.0,+/-2.1
R0101,16000US0683346,"Walnut Creek city, California",1,45.1,+/-3.8
R0101,16000US0684200,"West Covina city, California",1,39.0,+/-1.6
R0101,16000US0684550,"Westminster city, California",1,39.6,+/-2.5
R0101,16000US0685292,"Whittier city, California",1,37.4,+/-1.3
R0101,16000US0686832,"Yorba Linda city, California",1,45.4,+/-2.6
R0101,16000US0686972,"Yuba City city, California",1,37.3,+/-3.3
R0101,16000US0803455,"Arvada city, Colorado",1,40.2,+/-1.4
R0101,16000US0804000,"Aurora city, Colorado",1,34.3,+/-0.6
R0101,16000US0807850,"Boulder city, Colorado",1,28.9,+/-1.2
R0101,16000US0809280,"Broomfield city, Colorado",1,38.9,+/-0.8
R0101,16000US0812415,"Castle Rock town, Colorado",1,37.0,+/-1.9
R0101,16000US0812815,"Centennial city, Colorado",1,40.8,+/-1.7
R0101,16000US0816000,"Colorado Springs city, Colorado",1,35.6,+/-0.7
R0101,16000US0820000,"Denver city, Colorado",1,34.7,+/-0.1
R0101,16000US0827425,"Fort Collins city, Colorado",1,30.6,+/-1.2
R0101,16000US0832155,"Greeley city, Colorado",1,33.1,+/-1.4
R0101,16000US0836410,"Highlands Ranch CDP, Colorado",1,40.1,+/-2.0
R0101,16000US0843000,"Lakewood city, Colorado",1,37.6,+/-1.2
R0101,16000US0845970,"Longmont city, Colorado",1,40.2,+/-1.7
R0101,16000US0846465,"Loveland city, Colorado",1,38.1,+/-2.5
R0101,16000US0862000,"Pueblo city, Colorado",1,37.3,+/-1.0
R0101,16000US0877290,"Thornton city, Colorado",1,34.0,+/-1.5
R0101,16000US0883835,"Westminster city, Colorado",1,36.2,+/-1.3
R0101,16000US0908000,"Bridgeport city, Connecticut",1,33.9,+/-1.7
R0101,16000US0918430,"Danbury city, Connecticut",1,40.4,+/-2.4
R0101,16000US0937000,"Hartford city, Connecticut",1,32.5,+/-1.9
R0101,16000US0950370,"New Britain city, Connecticut",1,33.9,+/-2.8
R0101,16000US0952000,"New Haven city, Connecticut",1,32.0,+/-1.6
R0101,16000US0955990,"Norwalk city, Connecticut",1,40.6,+/-1.5
R0101,16000US0973000,"Stamford city, Connecticut",1,37.4,+/-2.0
R0101,16000US0980000,"Waterbury city, Connecticut",1,34.9,+/-2.5
R0101,16000US1077580,"Wilmington city, Delaware",1,36.5,+/-3.2
R0101,16000US1150000,"Washington city, District of Columbia",1,34.3,+/-0.2
R0101,16000US1200410,"Alafaya CDP, Florida",1,32.6,+/-5.0
R0101,16000US1207300,"Boca Raton city, Florida",1,47.6,+/-3.2
R0101,16000US1207875,"Boynton Beach city, Florida",1,42.7,+/-2.2
R0101,16000US1208150,"Brandon CDP, Florida",1,37.8,+/-1.8
R0101,16000US1210275,"Cape Coral city, Florida",1,46.4,+/-2.4
R0101,16000US1212875,"Clearwater city, Florida",1,47.1,+/-3.1
R0101,16000US1214400,"Coral Springs city, Florida",1,36.4,+/-1.9
R0101,16000US1216475,"Davie town, Florida",1,35.2,+/-2.8
R0101,16000US1216525,"Daytona Beach city, Florida",1,42.7,+/-4.8
R0101,16000US1216725,"Deerfield Beach city, Florida",1,46.4,+/-2.6
R0101,16000US1217100,"Delray Beach city, Florida",1,47.7,+/-6.2
R0101,16000US1217200,"Deltona city, Florida",1,37.0,+/-2.5
R0101,16000US1217935,"Doral city, Florida",1,38.8,+/-2.1
R0101,16000US1224000,"Fort Lauderdale city, Florida",1,41.1,+/-2.2
R0101,16000US1224125,"Fort Myers city, Florida",1,37.9,+/-4.2
R0101,16000US1224562,"Fountainebleau CDP, Florida",1,39.1,+/-2.4
R0101,16000US1225175,"Gainesville city, Florida",1,27.0,+/-0.9
R0101,16000US1230000,"Hialeah city, Florida",1,44.9,+/-1.4
R0101,16000US1232000,"Hollywood city, Florida",1,41.4,+/-2.2
R0101,16000US1232275,"Homestead city, Florida",1,31.5,+/-3.8
R0101,16000US1235000,"Jacksonville city, Florida",1,36.1,+/-0.3
R0101,16000US1235875,"Jupiter town, Florida",1,46.4,+/-4.7
R0101,16000US1236100,"Kendall CDP, Florida",1,42.2,+/-4.5
R0101,16000US1236950,"Kissimmee city, Florida",1,35.6,+/-1.5
R0101,16000US1238250,"Lakeland city, Florida",1,39.7,+/-2.2
R0101,16000US1239425,"Largo city, Florida",1,48.9,+/-3.6
R0101,16000US1239550,"Lauderhill city, Florida",1,36.2,+/-3.6
R0101,16000US1239925,"Lehigh Acres CDP, Florida",1,37.4,+/-1.6
R0101,16000US1243975,"Melbourne city, Florida",1,43.0,+/-5.2
R0101,16000US1245000,"Miami city, Florida",1,40.7,+/-1.1
R0101,16000US1245025,"Miami Beach city, Florida",1,40.5,+/-1.6
R0101,16000US1245060,"Miami Gardens city, Florida",1,36.3,+/-3.1
R0101,16000US1245975,"Miramar city, Florida",1,36.1,+/-3.1
R0101,16000US1249675,"North Port city, Florida",1,47.9,+/-7.7
R0101,16000US1253000,"Orlando city, Florida",1,34.6,+/-1.0
R0101,16000US1254000,"Palm Bay city, Florida",1,43.3,+/-4.3
R0101,16000US1254200,"Palm Coast city, Florida",1,51.6,+/-1.6
R0101,16000US1255775,"Pembroke Pines city, Florida",1,40.7,+/-1.7
R0101,16000US1256825,"Pine Hills CDP, Florida",1,32.4,+/-4.4
R0101,16000US1257425,"Plantation city, Florida",1,41.6,+/-4.4
R0101,16000US1257900,"Poinciana CDP, Florida",1,34.2,+/-4.0
R0101,16000US1258050,"Pompano Beach city, Florida",1,46.3,+/-3.7
R0101,16000US1258350,"Port Charlotte CDP, Florida",1,50.4,+/-4.6
R0101,16000US1258715,"Port St. Lucie city, Florida",1,42.3,+/-1.5
R0101,16000US1260950,"Riverview CDP, Florida",1,37.8,+/-2.4
R0101,16000US1263000,"St. Petersburg city, Florida",1,43.8,+/-1.9
R0101,16000US1268350,"Spring Hill CDP, Florida",1,45.4,+/-3.2
R0101,16000US1269700,"Sunrise city, Florida",1,44.6,+/-3.1
R0101,16000US1270600,"Tallahassee city, Florida",1,26.8,+/-0.8
R0101,16000US1270675,"Tamarac city, Florida",1,49.5,+/-4.1
R0101,16000US1271000,"Tampa city, Florida",1,36.0,+/-1.0
R0101,16000US1271569,"The Hammocks CDP, Florida",1,38.6,+/-3.3
R0101,16000US1271625,"The Villages CDP, Florida",1,72.6,+/-0.6
R0101,16000US1272145,"Town 'n' Country CDP, Florida",1,36.1,+/-2.8
R0101,16000US1275812,"Wellington village, Florida",1,44.6,+/-4.5
R0101,16000US1275875,"Wesley Chapel CDP, Florida",1,37.6,+/-1.6
R0101,16000US1276582,"Weston city, Florida",1,42.3,+/-3.2
R0101,16000US1276600,"West Palm Beach city, Florida",1,36.9,+/-2.3
R0101,16000US1301052,"Albany city, Georgia",1,34.1,+/-2.9
R0101,16000US1301696,"Alpharetta city, Georgia",1,41.6,+/-2.5
R0101,16000US1303440,"Athens-Clarke County unified government (balance), Georgia",1,28.5,+/-1.0
R0101,16000US1304000,"Atlanta city, Georgia",1,33.3,+/-0.6
R0101,16000US1304204,"Augusta-Richmond County consolidated government (balance), Georgia",1,34.2,+/-0.6
R0101,16000US1319000,"Columbus city, Georgia",1,34.9,+/-0.3
R0101,16000US1342425,"Johns Creek city, Georgia",1,41.3,+/-1.6
R0101,16000US1349008,"Macon-Bibb County, Georgia",1,36.5,+/-0.3
R0101,16000US1367284,"Roswell city, Georgia",1,39.3,+/-2.1
R0101,16000US1368516,"Sandy Springs city, Georgia",1,37.3,+/-1.7
R0101,16000US1369000,"Savannah city, Georgia",1,33.4,+/-1.5
R0101,16000US1372122,"South Fulton city, Georgia",1,34.9,+/-3.9
R0101,16000US1380508,"Warner Robins city, Georgia",1,32.8,+/-1.3
R0101,16000US1571550,"Urban Honolulu CDP, Hawaii",1,41.4,+/-1.5
R0101,16000US1608830,"Boise City city, Idaho",1,37.6,+/-1.1
R0101,16000US1652120,"Meridian city, Idaho",1,35.8,+/-2.5
R0101,16000US1656260,"Nampa city, Idaho",1,33.0,+/-1.5
R0101,16000US1702154,"Arlington Heights village, Illinois",1,44.6,+/-2.9
R0101,16000US1703012,"Aurora city, Illinois",1,35.3,+/-1.1
R0101,16000US1706613,"Bloomington city, Illinois",1,35.4,+/-1.5
R0101,16000US1707133,"Bolingbrook village, Illinois",1,37.9,+/-2.2
R0101,16000US1712385,"Champaign city, Illinois",1,27.2,+/-1.4
R0101,16000US1714000,"Chicago city, Illinois",1,35.2,+/-0.3
R0101,16000US1714351,"Cicero town, Illinois",1,31.1,+/-2.7
R0101,16000US1718823,"Decatur city, Illinois",1,39.7,+/-1.8
R0101,16000US1723074,"Elgin city, Illinois",1,34.9,+/-1.9
R0101,16000US1724582,"Evanston city, Illinois",1,35.1,+/-2.5
R0101,16000US1738570,"Joliet city, Illinois",1,35.4,+/-1.9
R0101,16000US1751622,"Naperville city, Illinois",1,40.5,+/-1.9
R0101,16000US1757225,"Palatine village, Illinois",1,36.7,+/-4.1
R0101,16000US1759000,"Peoria city, Illinois",1,36.5,+/-1.2
R0101,16000US1765000,"Rockford city, Illinois",1,36.7,+/-1.4
R0101,16000US1768003,"Schaumburg village, Illinois",1,40.4,+/-2.1
R0101,16000US1770122,"Skokie village, Illinois",1,40.8,+/-3.3
R0101,16000US1772000,"Springfield city, Illinois",1,40.1,+/-1.6
R0101,16000US1779293,"Waukegan city, Illinois",1,32.8,+/-3.6
R0101,16000US1805860,"Bloomington city, Indiana",1,23.7,+/-0.7
R0101,16000US1810342,"Carmel city, Indiana",1,37.8,+/-2.8
R0101,16000US1822000,"Evansville city, Indiana",1,36.7,+/-2.1
R0101,16000US1823278,"Fishers city, Indiana",1,36.6,+/-1.5
R0101,16000US1825000,"Fort Wayne city, Indiana",1,35.4,+/-0.8
R0101,16000US1827000,"Gary city, Indiana",1,36.8,+/-3.5
R0101,16000US1831000,"Hammond city, Indiana",1,41.2,+/-2.5
R0101,16000US1836003,"Indianapolis city (balance), Indiana",1,34.3,+/-0.3
R0101,16000US1840788,"Lafayette city, Indiana",1,34.4,+/-1.4
R0101,16000US1851876,"Muncie city, Indiana",1,30.2,+/-2.2
