,2015,2016,2017,2018
Murray,"1,150,996","1,314,181","1,292,956","1,250,877"
Muscogee,"9,321,427","9,211,393","9,560,917","9,713,550"
Newton,"2,252,854","2,314,079","2,423,209","2,415,670"
Oconee,"1,108,612","1,150,377","1,201,916","1,254,367"
Oglethorpe,"315,311","326,088","323,714","331,793"
Paulding,"2,049,132","2,123,522","2,211,909","2,290,287"
Peach,"845,561","901,372","903,147","938,621"
Pickens,"836,160","870,918","898,120","929,381"
Pierce,"337,410","348,060","361,216","371,570"
Pike,"261,192","264,694","271,442","278,801"
Polk,"1,094,434","1,117,842","1,137,185","1,181,529"
Pulaski,"252,806","255,801","254,685","265,086"
Putnam,"456,284","427,165","441,597","445,696"
Quitman,"44,123","44,573","46,565","49,138"
Rabun,"432,129","441,871","454,254","466,083"
Randolph,"307,392","359,271","361,550","362,963"
Richmond,"11,197,372","11,263,690","11,472,355","11,603,709"
Rockdale,"3,400,053","3,279,733","3,359,843","3,403,771"
Schley,"108,297","106,081","108,373","111,573"
Screven,"303,910","308,010","314,439","330,384"
Seminole,"256,617","247,484","250,956","248,233"
Spalding,"1,868,069","1,844,851","1,902,424","1,932,018"
Stephens,"838,611","824,162","836,342","845,831"
Stewart,"109,190","113,152","122,926","131,437"
Sumter,"995,083","982,836","1,003,719","1,012,804"
Talbot,"112,313","134,044","120,922","136,557"
Taliaferro,"38,740","40,701","38,626","40,876"
Tattnall,"587,283","580,275","596,397","598,451"
Taylor,"152,805","199,898","201,669","196,727"
Telfair,"390,147","381,779","391,750","400,242"
Terrell,"237,848","237,904","241,051","243,756"
Thomas,"1,994,972","2,001,174","2,021,349","2,050,229"
Tift,"1,803,154","1,641,382","1,671,954","1,722,446"
Toombs,"914,977","891,694","895,077","909,766"
Towns,"277,029","282,042","277,559","291,115"
Treutlen,"111,594","116,794","117,021","119,360"
Troup,"3,582,110","3,602,164","3,670,290","3,689,303"
Turner,"195,351","186,514","189,957","190,629"
Twiggs,"172,867","211,419","229,351","269,210"
Union,"602,821","598,408","616,544","636,700"
Upson,"618,389","606,611","617,870","634,107"
Walker,"1,304,835","1,286,265","1,351,362","1,382,991"
Walton,"1,977,836","2,155,338","2,242,354","2,305,512"
Ware,"1,217,727","1,235,105","1,245,587","1,253,181"
Warren,"160,471","165,502","166,879","190,039"
Washington,"579,470","562,100","573,325","580,610"
Wayne,"696,693","680,210","702,242","716,988"
Webster,"57,433","60,564","65,796","68,097"
Wheeler,"122,962","121,901","122,929","126,380"
White,"608,647","613,669","633,395","651,770"
Whitfield,"5,270,007","5,417,769","5,530,182","5,604,981"
Wilcox,"137,874","134,330","149,308","147,790"
Wilkes,"294,034","298,943","299,166","299,631"
Wilkinson,"443,774","445,445","447,175","469,070"
Worth,"317,108","319,232","327,412","335,248"
,,,,
Hawaii,"77,185,376","78,905,138","80,715,781","82,651,901"
Hawaii,"7,233,030","7,524,692","7,867,421","8,124,355"
Honolulu,"57,640,119","58,642,584","59,924,134","61,095,819"
Kauai,"3,633,843","3,748,281","3,849,132","4,083,693"
Maui + Kalawao,"8,676,225","8,985,754","9,073,660","9,345,639"
,,,,
Idaho,"63,097,512","65,535,348","67,818,168","70,500,379"
Ada,"21,444,205","22,468,149","23,670,890","24,825,864"
Adams,"119,571","120,665","120,956","128,547"
Bannock,"2,572,790","2,621,524","2,700,656","2,745,368"
Bear Lake,"167,452","167,965","169,017","171,856"
Benewah,"285,691","287,969","294,088","297,905"
Bingham,"1,234,736","1,224,788","1,289,411","1,335,050"
Blaine,"1,277,812","1,297,377","1,366,700","1,400,281"
Boise,"134,563","142,871","169,151","221,901"
Bonner,"1,203,181","1,255,585","1,288,396","1,339,019"
Bonneville,"4,297,612","4,420,880","4,706,502","4,905,301"
Boundary,"330,236","323,666","331,655","336,364"
Butte,"899,969","926,251","941,600","959,859"
Camas,"59,369","51,702","53,965","54,147"
Canyon,"4,667,740","4,908,188","5,173,535","5,367,721"
Caribou,"449,688","473,118","422,832","427,875"
Cassia,"1,442,996","1,522,684","1,493,282","1,648,535"
Clark,"38,743","40,432","42,709","41,594"
Clearwater,"334,191","346,251","319,389","324,971"
Custer,"183,862","177,582","159,715","177,291"
Elmore,"1,075,692","1,146,784","1,136,802","1,163,797"
Franklin,"327,753","329,244","334,880","333,650"
Fremont (includes Yellowstone National Park),"379,529","391,335","393,074","402,818"
Gem,"294,247","301,361","310,248","319,609"
Gooding,"1,085,244","1,285,904","1,359,701","1,272,187"
Idaho,"435,818","421,114","437,098","486,206"
Jefferson,"527,181","558,225","549,893","563,537"
Jerome,"1,151,770","1,235,347","1,265,148","1,359,384"
Kootenai,"4,856,952","5,124,128","5,301,432","5,529,281"
Latah,"1,161,801","1,157,231","1,200,539","1,242,423"
Lemhi,"220,208","219,388","221,989","231,853"
Lewis,"152,530","145,942","136,821","156,358"
Lincoln,"219,610","237,248","261,456","286,254"
Madison,"1,059,045","1,066,510","1,089,869","1,115,604"
Minidoka,"733,016","731,849","689,238","736,107"
Nez Perce,"1,789,641","1,844,174","1,864,193","1,889,423"
Oneida,"109,800","112,375","102,273","110,667"
Owyhee,"379,634","395,649","379,301","383,126"
Payette,"837,885","844,072","833,896","780,280"
Power,"393,130","360,153","372,306","419,021"
Shoshone,"608,344","568,106","451,515","466,589"
Teton,"252,736","264,624","278,215","309,013"
Twin Falls,"3,092,119","3,188,155","3,233,364","3,323,275"
Valley,"405,348","425,180","451,269","455,186"
Washington,"380,153","411,155","415,826","404,915"
,,,,
Illinois,"744,517,833","747,167,990","753,637,957","769,800,594"
Adams,"3,184,014","3,120,703","3,139,643","3,284,870"
Alexander,"169,523","180,046","175,907","180,487"
Bond,"538,723","505,537","510,397","556,141"
Boone,"1,539,986","1,576,573","1,494,617","1,706,969"
Brown,"399,933","387,127","403,323","403,332"
Bureau,"1,214,852","1,156,349","1,196,240","1,200,477"
Calhoun,"111,252","100,621","100,905","109,270"
Carroll,"486,450","561,679","530,307","463,346"
Cass,"622,333","612,636","622,070","638,399"
Champaign,"10,426,855","10,084,549","10,009,038","10,356,705"
Christian,"1,280,011","1,291,070","1,344,448","1,346,262"
Clark,"526,704","540,468","557,592","608,104"
Clay,"626,606","589,274","586,556","588,562"
Clinton,"1,124,530","1,196,619","1,173,145","1,210,870"
Coles,"2,181,513","2,178,366","2,262,329","2,305,836"
Cook,"348,451,260","351,380,397","354,454,887","362,063,569"
Crawford,"3,453,908","2,650,746","3,037,722","3,154,494"
Cumberland,"313,014","308,883","331,514","343,839"
DeKalb,"3,630,041","3,542,208","3,523,477","3,614,570"
De Witt,"1,083,952","1,160,793","1,103,938","1,129,745"
Douglas,"914,455","918,981","950,619","1,002,215"
DuPage,"79,834,105","80,271,717","81,750,103","82,596,221"
Edgar,"698,730","690,176","744,879","756,615"
Edwards,"269,148","267,365","288,114","279,804"
Effingham,"1,838,013","1,848,777","1,961,274","2,041,960"
Fayette,"537,250","556,309","571,792","599,015"
Ford,"712,640","786,186","751,179","788,611"
Franklin,"1,053,082","1,093,603","1,129,146","1,247,960"
Fulton,"923,587","869,606","877,634","917,536"
Gallatin,"281,032","296,067","296,363","276,703"
Greene,"311,613","335,338","348,085","377,090"
Grundy,"3,043,557","3,177,894","3,179,509","3,145,931"
Hamilton,"421,809","350,296","454,792","460,533"
Hancock,"514,828","593,121","641,336","683,222"
Hardin,"112,469","107,120","106,132","105,717"
Henderson,"178,910","205,747","223,328","201,065"
Henry,"1,475,718","1,482,948","1,501,490","1,436,917"
Iroquois,"1,033,837","1,185,885","1,076,897","1,056,396"
Jackson,"2,629,683","2,772,570","2,662,323","2,805,921"
Jasper,"543,385","515,877","542,544","568,282"
Jefferson,"1,690,280","1,686,122","1,680,172","1,695,482"
Jersey,"508,360","487,948","493,367","502,115"
Jo Daviess,"852,024","862,970","812,410","819,232"
Johnson,"237,706","229,919","225,677","226,975"
Kane,"21,202,757","21,140,553","21,471,957","21,846,847"
Kankakee,"4,261,711","4,383,459","4,366,489","4,370,611"
Kendall,"2,783,139","2,826,945","2,877,800","2,910,561"
Knox,"1,789,162","1,834,303","1,763,589","1,750,985"
Lake,"57,300,737","57,791,108","58,704,142","60,106,642"
LaSalle,"5,271,458","5,282,238","5,362,331","5,398,514"
Lawrence,"527,142","505,490","516,322","510,953"
Lee,"1,339,798","1,335,417","1,445,488","1,508,358"
Livingston,"1,787,533","1,900,803","1,764,773","1,753,899"
Logan,"943,786","1,106,815","1,055,645","1,110,851"
McDonough,"1,137,526","1,179,808","1,150,678","1,150,422"
McHenry,"10,178,110","10,098,988","10,166,494","10,241,435"
McLean,"11,869,056","12,002,700","11,826,318","11,802,499"
Macon,"6,554,747","6,405,913","6,238,665","6,523,486"
Macoupin,"1,195,334","1,074,504","1,096,295","1,163,098"
Madison,"11,100,623","10,721,584","10,794,089","11,293,639"
Marion,"1,277,650","1,280,697","1,287,918","1,372,400"
Marshall,"395,690","453,634","416,978","403,674"
Mason,"468,271","544,718","579,311","577,815"
Massac,"741,026","694,090","685,117","690,326"
Menard,"267,013","236,933","250,856","289,134"
Mercer,"412,809","377,800","420,641","403,854"
Monroe,"896,581","865,997","882,959","923,297"
Montgomery,"1,093,283","1,188,741","1,274,122","1,324,737"
Morgan,"1,378,474","1,376,639","1,365,793","1,445,898"
Moultrie,"581,590","571,325","623,786","692,823"
Ogle,"2,722,574","2,735,223","2,701,069","2,721,329"
Peoria,"10,936,082","10,717,177","11,186,444","12,040,364"
Perry,"638,393","647,016","651,924","712,065"
Piatt,"443,287","424,724","426,637","477,520"
Pike,"545,855","629,663","613,389","623,777"
Pope,"103,258","93,027","99,490","96,338"
Pulaski,"233,971","246,211","258,663","236,180"
Putnam,"323,396","351,440","348,240","338,034"
Randolph,"1,540,865","1,510,682","1,423,239","1,470,109"
Richland,"812,538","898,151","925,273","962,210"
Rock Island,"10,216,326","10,199,947","10,404,094","10,496,180"
St. Clair,"10,538,141","10,525,960","10,616,286","10,679,494"
Saline,"982,085","871,157","889,487","849,787"
Sangamon,"10,218,497","10,058,948","10,125,082","10,570,791"
Schuyler,"271,538","285,042","286,222","285,717"
Scott,"146,400","166,408","166,276","189,956"
Shelby,"681,757","684,249","705,315","810,282"
Stark,"226,737","237,581","251,750","227,465"
Stephenson,"1,981,416","1,994,216","1,897,427","1,923,456"
Tazewell,"10,118,112","9,108,186","8,177,447","8,206,096"
Union,"456,061","480,356","455,045","448,465"
Vermilion,"3,180,311","3,214,461","3,196,706","3,285,723"
Wabash,"350,236","350,747","373,729","376,181"
Warren,"639,761","689,555","718,109","750,948"
Washington,"742,961","833,583","898,282","1,013,500"
Wayne,"663,586","649,001","604,981","648,342"
White,"607,841","594,068","597,729","573,158"
Whiteside,"2,130,629","1,997,881","2,077,581","2,090,471"
Will,"26,858,890","27,399,059","27,685,330","28,209,374"
Williamson,"2,637,918","2,662,912","2,700,573","2,796,011"
Winnebago,"12,642,576","12,582,907","12,757,249","13,080,810"
Woodford,"1,194,641","1,217,365","1,156,829","1,155,062"
,,,,
Indiana,"311,600,670","316,635,852","322,745,581","329,298,827"
Adams,"1,239,264","1,281,672","1,351,353","1,416,976"
Allen,"18,874,695","18,938,297","19,105,381","19,716,158"
Bartholomew,"5,804,117","5,827,358","6,063,299","6,363,058"
Benton,"363,736","427,764","406,379","421,798"
Blackford,"267,607","299,424","297,807","292,995"
Boone,"3,879,642","3,894,398","4,344,034","4,528,949"
Brown,"243,485","242,380","236,847","241,987"
Carroll,"567,678","618,213","618,854","661,601"
Cass,"1,164,403","1,214,464","1,220,270","1,258,237"
Clark,"4,326,567","4,343,758","4,355,017","4,380,616"
Clay,"597,363","599,020","618,062","640,668"
Clinton,"1,035,616","1,005,079","1,029,168","1,100,849"
Crawford,"181,310","180,768","188,878","188,897"
Daviess,"1,104,312","1,055,918","1,116,774","1,159,916"
Dearborn,"1,553,011","1,552,498","1,547,368","1,510,907"
Decatur,"1,247,248","1,292,516","1,374,281","1,431,726"
DeKalb,"2,333,251","2,413,806","2,418,339","2,466,948"
Delaware,"3,762,814","3,754,936","3,827,953","3,872,532"
Dubois,"2,598,251","2,506,210","2,573,161","2,615,764"
Elkhart,"10,329,039","10,767,472","11,979,393","12,038,611"
Fayette,"537,627","549,131","556,121","583,073"
Floyd,"2,425,417","2,534,222","2,530,820","2,600,472"
Fountain,"498,302","517,273","500,903","536,769"
Franklin,"465,677","470,792","486,509","495,074"
Fulton,"598,362","606,147","642,335","626,150"
Gibson,"2,677,512","2,838,950","3,049,925","2,902,220"
Grant,"3,999,219","4,490,689","3,829,678","4,276,362"
Greene,"579,959","566,956","568,536","623,538"
Hamilton,"15,087,232","15,547,416","15,934,100","16,176,217"
Hancock,"1,929,478","2,008,215","2,105,964","2,180,514"
Harrison,"859,861","862,876","882,551","893,313"
Hendricks,"5,190,305","5,514,080","5,768,101","6,030,852"
Henry,"1,017,298","1,023,042","1,061,134","1,134,531"
Howard,"5,006,828","5,023,786","5,268,619","5,253,267"
Huntington,"1,262,001","1,248,905","1,279,718","1,296,402"
Jackson,"2,270,764","2,339,143","2,498,300","2,495,376"
Jasper,"1,320,619","1,338,731","1,381,534","1,311,535"
Jay,"932,733","848,857","885,210","958,240"
Jefferson,"1,321,585","1,337,154","1,386,775","1,373,639"
Jennings,"640,712","641,307","646,249","662,272"
Johnson,"4,062,407","4,133,856","4,324,289","4,534,695"
Knox,"1,784,299","1,857,842","1,909,283","1,860,452"
Kosciusko,"4,691,134","4,263,542","4,384,419","4,549,226"
Lagrange,"1,366,762","1,317,524","1,464,687","1,490,183"
Lake,"21,955,845","22,285,179","22,372,478","22,602,046"
LaPorte,"3,828,465","3,809,847","3,848,432","3,940,402"
Lawrence,"1,287,039","1,322,583","1,311,575","1,363,235"
Madison,"3,309,585","3,321,008","3,356,841","3,494,610"
Marion,"79,228,275","80,755,236","81,713,747","82,996,653"
Marshall,"1,571,668","1,593,377","1,590,747","1,587,315"
Martin,"924,109","933,239","987,031","1,027,957"
Miami,"775,569","822,217","823,086","824,484"
Monroe,"5,653,521","5,751,130","5,962,418","6,080,616"
Montgomery,"1,586,663","1,622,504","1,584,277","1,586,433"
Morgan,"1,355,919","1,435,233","1,447,248","1,550,375"
Newton,"373,196","352,674","336,006","349,433"
Noble,"1,648,146","1,639,737","1,665,449","1,712,402"
Ohio,"107,530","103,553","108,625","103,660"
Orange,"561,438","570,377","600,337","604,918"
Owen,"432,365","449,377","458,010","465,645"
Parke,"275,653","322,998","320,926","310,227"
Perry,"693,092","708,389","696,896","696,505"
Pike,"758,576","774,454","814,763","690,529"
Porter,"6,134,776","6,296,503","6,292,093","6,370,405"
Posey,"1,480,476","1,485,397","1,581,104","1,524,491"
Pulaski,"495,974","517,389","541,925","520,074"
Putnam,"934,369","994,002","1,015,373","1,026,472"
Randolph,"758,668","712,044","714,968","731,186"
Ripley,"1,116,090","1,186,941","1,267,581","1,231,942"
Rush,"494,096","541,396","537,833","554,643"
St. Joseph,"12,049,473","11,981,120","12,094,783","12,554,863"
Scott,"566,398","588,547","607,035","630,586"
Shelby,"1,912,354","2,032,618","2,010,902","2,032,091"
Spencer,"1,174,280","1,173,906","1,183,845","1,114,528"
Starke,"404,770","441,163","459,298","455,392"
Steuben,"1,240,647","1,257,372","1,311,702","1,355,799"
Sullivan,"955,877","972,644","911,183","882,530"
Switzerland,"206,733","207,868","207,471","207,854"
Tippecanoe,"7,693,297","7,799,233","7,962,074","8,355,142"
Tipton,"492,970","522,325","562,155","646,608"
Union,"127,058","124,488","126,586","132,120"
Vanderburgh,"10,204,677","10,154,562","10,363,785","10,474,357"
Vermillion,"683,584","760,163","740,246","755,958"
Vigo,"4,645,936","4,578,314","4,568,509","4,542,724"
Wabash,"1,145,348","1,155,647","1,139,965","1,180,811"
Warren,"223,006","267,127","251,395","288,311"
Warrick,"2,011,070","1,970,058","1,963,308","2,015,080"
Washington,"615,054","567,460","590,052","633,102"
Wayne,"2,514,120","2,547,446","2,581,702","2,659,403"
Wells,"980,371","968,933","1,000,237","1,063,282"
White,"880,634","921,093","899,339","937,398"
Whitley,"1,104,037","1,169,413","1,188,622","1,211,021"
,,,,
Iowa,"169,374,989","168,876,432","168,434,541","172,071,984"
Adair,"328,347","315,310","319,374","324,537"
Adams,"283,787","302,511","280,320","296,386"
Allamakee,"571,989","593,313","544,488","541,503"
Appanoose,"357,330","359,058","358,792","348,067"
Audubon,"245,856","236,395","249,683","249,566"
Benton,"656,477","660,277","680,997","740,852"
Black Hawk,"7,466,513","6,835,480","6,895,327","7,115,887"
Boone,"918,138","910,775","885,440","967,923"
Bremer,"1,099,724","1,092,552","1,053,747","1,039,846"
Buchanan,"611,563","591,005","611,841","601,478"
Buena Vista,"1,396,750","1,384,319","1,402,443","1,462,894"
Butler,"651,233","764,111","792,589","739,157"
Calhoun,"407,984","460,719","424,002","490,304"
Carroll,"1,247,115","1,296,807","1,315,642","1,325,535"
Cass,"666,664","621,439","633,006","640,979"
Cedar,"524,823","505,210","503,107","544,340"
Cerro Gordo,"2,392,015","2,383,966","2,294,118","2,360,792"
Cherokee,"873,033","900,002","851,770","876,700"
Chickasaw,"751,812","773,455","664,332","690,161"
Clarke,"375,228","372,653","403,686","421,066"
Clay,"1,003,498","882,288","922,509","964,775"
Clayton,"790,524","811,869","840,723","832,243"
Clinton,"2,159,484","2,089,255","2,095,720","2,106,560"
Crawford,"719,279","694,175","709,390","736,402"
Dallas,"4,561,560","4,746,397","4,679,801","4,763,330"
Davis,"204,049","223,490","221,016","221,183"
Decatur,"190,197","188,600","216,742","224,155"
Delaware,"835,932","781,261","820,910","845,252"
Des Moines,"2,172,710","2,196,937","2,166,900","2,198,139"
Dickinson,"881,676","852,238","874,636","850,226"
Dubuque,"5,185,679","5,073,477","5,120,001","5,194,130"
Emmet,"459,816","369,340","417,605","363,045"
Fayette,"687,063","699,973","731,090","698,596"
Floyd,"721,511","706,885","657,302","644,007"
Franklin,"685,354","677,570","702,524","679,214"
Fremont,"256,471","238,303","252,905","241,298"
Greene,"411,558","418,401","402,151","417,537"
Grundy,"603,480","571,645","700,598","638,762"
Guthrie,"465,170","424,237","427,466","457,313"
Hamilton,"765,608","655,830","680,309","807,344"
Hancock,"798,787","664,429","752,094","755,413"
Hardin,"907,548","940,470","1,006,092","1,002,720"
Harrison,"479,292","516,804","446,383","451,315"
Henry,"750,872","744,410","751,270","798,306"
Howard,"454,760","417,916","391,889","417,568"
Humboldt,"475,114","470,312","443,321","443,824"
Ida,"385,707","378,111","428,877","429,048"
Iowa,"775,203","738,351","771,035","802,948"
Jackson,"600,793","605,127","559,811","593,898"
Jasper,"988,209","982,323","976,723","1,058,798"
Jefferson,"598,408","612,099","606,822","677,208"
Johnson,"8,024,479","8,049,250","8,281,109","8,385,942"
Jones,"568,792","541,093","548,837","556,983"
Keokuk,"330,752","363,479","297,889","336,881"
Kossuth,"1,083,142","1,037,829","1,078,023","1,066,212"
Lee,"1,751,118","1,641,194","1,551,096","1,580,685"
Linn,"15,568,897","15,733,507","15,560,368","15,957,005"
Louisa,"484,209","476,180","486,571","551,334"
Lucas,"286,828","291,041","289,019","309,877"
Lyon,"1,017,412","1,213,612","1,260,985","1,126,386"
Madison,"374,195","365,884","370,091","393,017"
Mahaska,"770,666","778,726","784,005","872,648"
Marion,"1,486,371","1,463,150","1,481,091","1,546,001"
Marshall,"1,594,637","1,583,533","1,571,406","1,691,952"
Mills,"455,279","465,649","496,136","508,666"
Mitchell,"642,065","623,222","604,233","652,501"
Monona,"343,507","399,113","404,898","366,224"
Monroe,"393,897","382,638","388,700","424,160"
Montgomery,"398,223","373,573","388,312","385,816"
Muscatine,"2,306,755","2,284,845","2,265,143","2,298,640"
O'Brien,"936,080","1,148,411","1,164,151","1,116,366"
Osceola,"471,602","456,467","507,733","495,070"
Page,"506,121","506,133","501,767","531,794"
Palo Alto,"580,810","487,974","555,354","528,894"
Plymouth,"1,415,752","1,613,598","1,567,910","1,556,493"
Pocahontas,"654,342","679,430","501,363","538,662"
Polk,"35,696,734","36,688,552","36,211,368","36,757,721"
Pottawattamie,"4,553,463","4,611,782","4,445,608","4,637,631"
Poweshiek,"1,107,148","1,088,574","1,093,660","1,129,491"
Ringgold,"167,354","157,843","189,495","185,894"
Sac,"564,822","539,118","518,523","589,102"
Scott,"8,160,232","8,052,003","8,012,364","8,208,858"
Shelby,"1,047,408","1,021,387","1,019,531","1,023,116"
Sioux,"2,486,700","2,434,370","2,684,788","2,676,524"
Story,"4,716,210","4,627,378","4,744,881","4,814,640"
Tama,"486,404","513,704","506,975","548,997"
Taylor,"257,710","179,462","232,534","234,141"
Union,"562,082","541,249","521,452","535,762"
Van Buren,"222,327","207,442","206,315","223,794"
Wapello,"1,648,982","1,572,369","1,597,865","1,628,245"
Warren,"975,289","995,315","1,017,135","1,042,882"
Washington,"1,024,688","934,993","1,084,028","1,151,368"
Wayne,"214,416","219,054","224,788","235,082"
Webster,"2,194,846","2,137,710","2,074,199","2,097,183"
Winnebago,"473,931","416,167","436,815","431,395"
Winneshiek,"1,059,596","1,063,400","953,582","988,435"
Woodbury,"5,044,728","4,941,052","4,618,402","4,770,518"
Worth,"461,492","372,315","338,045","356,108"
Wright,"980,932","889,787","909,568","958,690"
,,,,
Kansas,"146,173,127","149,927,889","151,465,715","154,582,685"
Allen,"472,585","445,634","466,896","474,012"
Anderson,"241,649","283,448","218,806","231,865"
Atchison,"541,924","535,508","567,131","578,478"
Barber,"241,482","222,525","235,137","221,700"
Barton,"1,225,174","1,187,354","1,172,947","1,205,928"
Bourbon,"539,898","539,996","553,521","558,719"
Brown,"435,913","420,295","416,927","433,017"
Butler,"1,746,350","2,196,235","2,214,884","2,283,399"
Chase,"111,252","117,690","113,197","113,451"
Chautauqua,"83,682","78,300","74,342","75,066"
Cherokee,"519,045","592,225","632,446","688,966"
Cheyenne,"124,325","120,229","113,108","138,297"
Clark,"138,368","167,363","230,583","249,258"
Clay,"295,130","284,338","280,300","267,313"
Cloud,"330,892","346,436","343,603","317,960"
Coffey,"783,820","860,876","854,751","819,586"
Comanche,"91,453","74,095","73,014","76,885"
Cowley,"1,259,423","1,236,397","1,220,918","1,223,190"
Crawford,"1,312,113","1,303,739","1,357,533","1,373,034"
Decatur,"173,631","177,876","150,564","158,897"
Dickinson,"604,215","609,112","611,170","593,932"
Doniphan,"206,694","198,858","194,062","206,919"
Douglas,"4,205,852","4,338,539","4,404,306","4,458,646"
Edwards,"184,405","176,372","136,710","161,848"
Elk,"103,502","98,425","87,405","87,260"
Ellis,"1,499,857","1,500,460","1,490,048","1,520,452"
Ellsworth,"229,710","226,141","227,348","226,719"
Finney,"1,893,785","2,018,161","1,926,680","1,995,782"
Ford,"1,479,374","1,545,775","1,610,187","1,676,999"
Franklin,"803,174","805,020","816,273","809,403"
Geary,"2,772,747","2,624,842","2,583,215","2,540,165"
Gove,"199,354","189,084","178,678","178,222"
Graham,"134,350","116,364","122,705","126,429"
Grant,"653,812","815,669","693,589","585,765"
Gray,"861,114","926,068","827,623","774,123"
Greeley,"61,646","71,710","76,161","103,802"
Greenwood,"168,538","164,968","159,929","161,367"
Hamilton,"295,990","336,120","329,800","393,421"
Harper,"329,169","321,105","300,229","302,643"
Harvey,"1,119,441","1,125,067","1,086,867","1,116,247"
Haskell,"410,248","511,287","396,817","348,946"
Hodgeman,"90,648","89,195","76,241","93,517"
Jackson,"308,980","303,567","312,302","316,146"
Jefferson,"331,104","332,355","335,171","335,533"
Jewell,"135,064","121,413","99,184","110,189"
Johnson,"39,987,062","41,279,166","42,523,370","43,264,041"
Kearny,"318,782","319,613","310,724","317,292"
Kingman,"339,872","343,470","287,965","293,554"
Kiowa,"143,178","143,582","135,292","147,829"
Labette,"753,141","751,234","758,771","777,207"
Lane,"263,064","258,786","276,917","302,899"
Leavenworth,"2,547,407","2,529,313","2,523,593","2,560,260"
Lincoln,"119,761","120,720","118,377","115,211"
Linn,"482,331","558,987","387,178","416,339"
Logan,"137,353","133,641","131,518","143,712"
Lyon,"1,190,211","1,184,861","1,191,689","1,244,636"
McPherson,"1,538,048","1,814,155","1,898,548","2,006,354"
Marion,"364,417","385,259","338,903","342,297"
Marshall,"528,246","526,565","533,796","527,146"
Meade,"284,711","311,650","324,555","338,981"
Miami,"693,229","726,565","737,315","756,381"
Mitchell,"390,805","408,844","413,096","394,383"
Montgomery,"1,305,381","1,716,351","1,836,641","1,939,453"
Morris,"210,025","231,872","213,854","183,131"
Morton,"161,977","146,158","171,916","159,918"
Nemaha,"503,734","542,556","545,453","538,363"
Neosho,"489,913","488,811","497,669","510,011"
Ness,"165,728","186,002","204,609","226,040"
Norton,"213,428","227,580","219,409","220,442"
Osage,"249,991","262,963","247,203","251,200"
Osborne,"164,069","170,706","182,964","184,274"
Ottawa,"131,820","143,564","123,944","128,707"
Pawnee,"323,883","396,274","286,978","272,632"
Phillips,"266,919","303,256","294,204","288,179"
Pottawatomie,"1,346,577","1,286,248","1,272,609","1,255,957"
Pratt,"467,479","458,835","520,955","530,550"
Rawlins,"133,297","125,294","128,673","142,052"
Reno,"2,222,308","2,196,325","2,288,360","2,307,946"
Republic,"234,831","257,598","218,219","217,272"
Rice,"499,523","431,980","400,403","443,582"
Riley,"2,498,660","2,516,075","2,453,994","2,469,027"
Rooks,"205,631","211,081","215,616","219,817"
Rush,"139,119","124,959","125,497","143,452"
Russell,"284,046","336,766","338,571","340,325"
Saline,"2,776,722","2,857,746","2,933,705","2,956,168"
Scott,"532,689","677,112","687,656","613,415"
Sedgwick,"25,965,017","27,164,874","27,734,703","28,724,113"
Seward,"1,335,459","1,245,933","1,232,004","1,298,434"
Shawnee,"8,721,802","8,854,716","8,827,484","9,032,118"
Sheridan,"130,929","137,685","126,621","131,903"
Sherman,"227,698","222,832","226,687","273,047"
Smith,"182,233","175,248","161,807","170,789"
Stafford,"129,859","144,988","123,664","141,068"
Stanton,"126,744","111,749","119,775","156,763"
Stevens,"260,208","246,572","254,402","268,179"
Sumner,"657,368","763,770","754,205","715,695"
Thomas,"395,459","389,736","414,243","413,995"
Trego,"211,590","155,967","169,023","202,879"
Wabaunsee,"127,029","127,855","127,022","130,256"
Wallace,"91,717","104,461","118,874","136,715"
Washington,"251,765","246,993","223,372","222,464"
Wichita,"292,084","370,792","260,805","293,066"
Wilson,"330,042","332,939","341,281","347,352"
Woodson,"77,787","75,314","82,177","81,905"
Wyandotte,"11,280,263","10,213,177","10,343,504","10,433,971"
,,,,
Kentucky,"181,323,142","182,618,591","184,540,918","187,215,545"
Adair,"334,063","323,124","321,031","328,768"
Allen,"410,211","422,826","414,250","429,841"
Anderson,"420,867","419,662","423,735","434,709"
Ballard,"290,060","263,645","252,110","238,341"
Barren,"1,365,942","1,365,099","1,375,848","1,381,824"
Bath,"154,741","151,033","151,011","153,922"
Bell,"692,212","668,744","672,496","668,283"
Boone,"7,318,891","7,600,790","7,867,282","8,145,159"
Bourbon,"744,961","732,345","731,288","744,850"
Boyd,"4,048,973","3,521,869","3,948,906","4,208,514"
Boyle,"1,121,562","1,142,634","1,149,019","1,172,393"
Bracken,"118,321","134,210","137,725","135,668"
Breathitt,"239,313","227,452","226,979","225,099"
Breckinridge,"353,258","333,236","351,063","349,646"
Bullitt,"1,931,010","2,033,335","2,160,673","2,225,729"
Butler,"330,437","353,326","356,088","348,093"
Caldwell,"329,034","342,619","336,463","356,610"
Calloway,"1,273,362","1,262,457","1,275,408","1,280,784"
Campbell,"2,726,347","2,843,604","2,851,553","2,894,065"
Carlisle,"159,057","184,440","160,316","160,381"
Carroll,"1,422,864","1,429,168","1,426,104","1,436,244"
Carter,"407,821","398,748","398,965","403,150"
Casey,"294,882","293,275","291,641","296,078"
Christian,"5,617,476","5,290,368","5,332,431","5,274,474"
