,2015,2016,2017,2018
Santa Cruz,"1,538,667","1,544,234","1,620,780","1,701,223"
Yavapai,"5,837,276","6,038,037","6,263,132","6,481,866"
Yuma,"6,776,399","7,370,372","7,783,381","7,874,389"
,,,,
Arkansas,"113,860,922","114,541,175","115,346,724","117,293,783"
Arkansas,"1,004,316","1,064,308","1,011,497","1,028,895"
Ashley,"893,843","910,844","896,476","907,876"
Baxter,"1,101,296","1,094,691","1,102,545","1,131,278"
Benton,"11,874,454","12,095,992","12,846,262","13,245,065"
Boone,"1,106,264","1,113,842","1,117,118","1,150,136"
Bradley,"321,127","313,284","323,897","330,283"
Calhoun,"314,529","305,565","326,112","344,894"
Carroll,"756,728","723,423","784,947","788,311"
Chicot,"234,007","253,168","254,641","244,098"
Clark,"718,661","723,399","730,698","734,017"
Clay,"299,759","289,400","313,160","304,763"
Cleburne,"1,099,560","1,009,797","982,503","890,222"
Cleveland,"160,765","156,902","163,377","169,834"
Columbia,"883,285","843,077","831,485","828,515"
Conway,"1,154,642","1,085,068","1,025,383","962,556"
Craighead,"3,821,826","3,860,116","3,922,075","4,031,319"
Crawford,"1,528,602","1,517,580","1,542,213","1,567,342"
Crittenden,"1,493,676","1,464,223","1,483,554","1,481,505"
Cross,"437,090","435,801","439,065","440,941"
Dallas,"195,291","194,016","195,576","192,320"
Desha,"505,433","536,213","495,296","498,045"
Drew,"570,890","589,264","571,341","574,589"
Faulkner,"3,720,455","3,679,979","3,625,171","3,683,719"
Franklin,"485,328","455,437","471,660","479,936"
Fulton,"199,447","179,951","180,330","187,790"
Garland,"2,937,538","2,942,846","3,003,768","3,051,825"
Grant,"375,292","372,803","378,549","390,516"
Greene,"1,316,996","1,283,954","1,315,511","1,342,823"
Hempstead,"817,269","818,374","883,781","877,218"
Hot Spring,"823,538","893,297","873,769","863,609"
Howard,"580,517","569,038","593,606","597,565"
Independence,"1,489,901","1,572,081","1,582,135","1,670,702"
Izard,"291,945","280,613","267,905","273,211"
Jackson,"528,349","533,677","520,962","528,213"
Jefferson,"2,917,025","2,935,141","2,931,545","2,917,078"
Johnson,"692,708","688,151","703,176","698,286"
Lafayette,"197,146","201,252","182,376","174,464"
Lawrence,"377,185","401,118","419,851","444,009"
Lee,"186,225","178,330","170,645","178,058"
Lincoln,"263,976","278,624","250,313","261,122"
Little River,"406,071","396,547","384,516","378,858"
Logan,"628,938","605,629","614,896","600,829"
Lonoke,"1,129,147","1,120,170","1,145,735","1,159,033"
Madison,"407,009","390,283","405,857","411,807"
Marion,"550,764","486,098","486,441","494,246"
Miller,"1,116,700","1,094,405","1,075,969","1,102,278"
Mississippi,"2,006,432","2,165,446","2,086,796","2,205,413"
Monroe,"192,302","197,137","194,720","188,860"
Montgomery,"166,208","157,184","155,057","157,162"
Nevada,"276,505","270,195","264,549","272,959"
Newton,"101,767","97,685","95,467","96,963"
Ouachita,"622,256","610,952","605,002","614,610"
Perry,"153,683","142,159","142,145","141,590"
Phillips,"480,917","457,899","444,620","458,421"
Pike,"245,683","234,545","240,251","248,289"
Poinsett,"529,275","528,857","541,014","555,990"
Polk,"500,117","479,843","490,456","502,922"
Pope,"2,805,696","2,728,238","2,683,755","2,692,810"
Prairie,"158,599","159,145","164,188","165,493"
Pulaski,"26,416,384","26,975,550","26,639,032","27,208,113"
Randolph,"348,243","367,600","393,806","415,843"
St. Francis,"689,420","670,682","693,463","687,857"
Saline,"1,935,576","1,926,672","1,930,880","1,991,439"
Scott,"275,104","266,741","283,220","288,385"
Searcy,"128,823","122,884","120,167","122,483"
Sebastian,"6,009,047","6,017,794","5,982,291","6,067,121"
Sevier,"449,689","445,428","448,651","462,219"
Sharp,"327,148","315,495","314,779","309,809"
Stone,"230,089","212,889","219,896","228,301"
Union,"2,763,045","2,652,569","2,723,839","2,806,423"
Van Buren,"942,137","826,520","756,095","658,285"
Washington,"9,039,927","9,389,303","9,676,654","9,828,703"
White,"2,425,197","2,350,710","2,296,231","2,272,114"
Woodruff,"185,095","191,496","204,480","210,719"
Yell,"534,662","517,732","537,493","550,276"
,,,,
California,"2,428,598,371","2,500,950,427","2,610,682,250","2,721,651,005"
Alameda,"114,592,329","119,447,773","125,803,266","130,701,879"
Alpine,"194,700","197,160","197,087","214,895"
Amador,"1,514,323","1,557,733","1,589,308","1,651,760"
Butte,"8,271,641","8,685,754","9,002,731","9,219,915"
Calaveras,"1,249,325","1,351,739","1,452,571","1,440,250"
Colusa,"1,693,756","1,579,352","1,472,320","1,673,234"
Contra Costa,"71,028,489","70,594,339","75,495,547","77,463,188"
Del Norte,"869,352","902,897","905,649","939,846"
El Dorado,"6,601,749","7,043,191","7,419,868","7,653,908"
Fresno,"39,100,161","39,839,249","41,597,807","43,436,946"
Glenn,"1,234,667","1,354,291","1,318,557","1,495,087"
Humboldt,"5,528,777","5,765,056","5,954,256","6,118,687"
Imperial,"7,759,415","8,016,694","8,189,014","8,038,068"
Inyo,"1,123,225","1,184,726","1,195,289","1,205,264"
Kern,"48,137,003","49,076,083","50,226,164","49,864,234"
Kings,"5,487,526","5,377,698","5,481,134","5,648,724"
Lake,"1,948,505","2,059,415","2,106,437","2,178,663"
Lassen,"1,298,987","1,346,229","1,340,576","1,358,142"
Los Angeles,"653,885,024","667,706,082","688,661,590","710,893,266"
Madera,"5,982,371","6,418,227","6,658,105","7,099,931"
Marin,"19,089,876","19,648,493","19,983,906","20,896,027"
Mariposa,"689,194","751,702","796,797","811,272"
Mendocino,"3,334,857","3,386,979","3,444,874","3,552,687"
Merced,"8,595,504","8,742,254","9,504,388","9,435,667"
Modoc,"433,203","445,488","426,486","441,800"
Mono,"907,585","949,362","1,046,210","1,009,386"
Monterey,"24,379,259","24,879,466","25,149,109","25,834,713"
Napa,"9,214,016","9,336,207","9,506,546","9,999,759"
Nevada,"3,942,943","4,029,754","4,053,373","4,170,409"
Orange,"208,517,447","212,281,069","223,791,535","230,145,536"
Placer,"18,891,434","19,854,262","21,027,562","22,021,571"
Plumas,"937,022","1,012,209","1,109,769","1,052,152"
Riverside,"72,375,487","74,405,465","77,102,154","79,775,504"
Sacramento,"78,935,508","79,773,093","82,506,601","85,235,147"
San Benito,"2,275,993","2,385,697","2,482,964","2,495,845"
San Bernardino,"77,495,694","79,698,867","82,478,302","85,114,555"
San Diego,"200,564,607","203,882,502","210,693,896","219,361,505"
San Francisco,"133,969,619","142,435,855","151,359,380","162,541,244"
San Joaquin,"26,817,792","26,805,456","28,027,041","29,257,580"
San Luis Obispo,"15,388,320","15,865,142","16,138,584","16,536,404"
San Mateo,"86,010,720","91,287,140","99,816,105","104,986,153"
Santa Barbara,"26,252,102","26,107,316","26,861,059","27,855,958"
Santa Clara,"251,750,330","268,421,986","287,235,403","316,525,538"
Santa Cruz,"13,166,978","13,370,887","13,520,021","13,765,700"
Shasta,"7,010,541","7,289,876","7,635,618","7,655,080"
Sierra,"174,241","186,168","191,322","215,033"
Siskiyou,"1,724,683","1,802,970","1,811,500","1,776,081"
Solano,"21,145,851","22,142,123","22,841,474","23,303,994"
Sonoma,"25,854,007","26,617,535","27,421,167","28,565,621"
Stanislaus,"21,248,796","21,075,833","21,993,425","23,160,773"
Sutter,"3,289,404","3,252,117","3,326,349","3,486,115"
Tehama,"1,917,492","2,037,676","2,100,567","2,210,392"
Trinity,"451,395","473,471","492,954","506,794"
Tulare,"16,739,950","17,147,139","17,773,212","18,415,098"
Tuolumne,"2,226,912","2,425,612","2,556,252","2,430,940"
Ventura,"50,480,790","51,798,309","52,776,068","53,439,240"
Yolo,"12,532,441","12,952,543","13,350,147","13,751,632"
Yuba,"2,753,556","2,872,113","2,985,566","3,020,233"
,,,,
Colorado,"309,179,631","316,751,784","329,573,719","341,076,739"
Adams,"21,039,417","21,995,795","22,938,605","23,933,937"
Alamosa,"662,337","659,375","654,314","671,553"
Arapahoe,"39,956,471","41,013,746","42,654,549","44,037,874"
Archuleta,"464,385","481,176","479,089","482,935"
Baca,"118,407","121,877","127,452","137,473"
Bent,"172,963","181,238","163,672","165,660"
Boulder,"22,669,578","23,423,069","24,607,654","25,319,458"
Broomfield,"7,595,628","7,596,604","8,366,371","8,050,690"
Chaffee,"606,033","634,208","662,174","692,114"
Cheyenne,"217,923","230,128","251,808","235,536"
Clear Creek,"639,648","494,493","509,932","500,533"
Conejos,"215,666","216,947","222,447","244,248"
Costilla,"107,006","96,329","104,746","107,662"
Crowley,"168,503","182,013","153,741","126,638"
Custer,"140,388","126,686","125,904","127,789"
Delta,"791,826","756,267","750,050","785,652"
Denver,"64,116,859","64,925,150","67,039,713","70,054,379"
Dolores,"216,453","191,724","188,029","156,585"
Douglas,"14,173,343","14,332,960","15,226,588","15,743,268"
Eagle,"3,136,360","3,216,484","3,308,719","3,375,460"
Elbert,"408,333","423,323","451,766","484,094"
El Paso,"30,201,637","30,907,788","32,265,733","33,349,174"
Fremont,"1,248,334","1,269,874","1,295,616","1,325,142"
Garfield,"4,230,409","4,246,153","4,301,192","4,243,642"
Gilpin,"505,564","503,282","552,434","525,142"
Grand,"653,776","661,941","685,071","714,703"
Gunnison,"923,743","943,497","1,012,690","1,028,922"
Hinsdale,"48,200","47,982","52,284","52,699"
Huerfano,"233,778","246,665","271,378","273,895"
Jackson,"89,185","93,650","98,742","118,656"
Jefferson,"26,075,796","27,600,781","28,434,307","29,445,620"
Kiowa,"84,548","83,008","90,628","73,798"
Kit Carson,"318,197","325,292","331,713","391,520"
Lake,"277,307","266,524","296,883","309,433"
La Plata,"3,499,160","3,674,622","3,650,188","3,515,882"
